,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,is_recid,is_violent_recid,score_text,two_year_recid
42,Male,39,African-American,0,4,0,0,0,0,Low,No
43,Male,40,African-American,0,2,0,0,0,0,Low,No
44,Male,22,Caucasian,0,8,0,0,0,0,High,No
45,Female,26,African-American,0,4,0,0,1,1,Low,Yes
46,Male,27,Caucasian,0,7,0,0,1,1,Medium,Yes
47,Male,32,African-American,0,2,0,0,0,0,Low,No
48,Male,41,African-American,0,2,0,0,0,0,Low,No
49,Male,30,African-American,0,10,0,0,1,1,High,Yes
50,Male,25,African-American,1,10,6,1,1,1,High,Yes
51,Male,20,Other,0,5,0,0,1,1,Medium,Yes
52,Female,35,African-American,0,2,0,0,0,0,Low,No
53,Male,25,Caucasian,0,8,0,0,1,1,High,Yes
54,Male,71,African-American,0,7,0,0,0,0,Medium,No
55,Female,20,Caucasian,0,7,0,0,0,0,Medium,No
56,Male,66,Caucasian,0,1,0,0,0,0,Low,No
57,Female,54,Caucasian,0,1,0,0,0,0,Low,No
58,Female,44,Hispanic,0,1,0,0,0,0,Low,No
59,Male,19,African-American,0,4,0,0,1,1,Low,Yes
60,Male,24,African-American,0,2,0,0,0,0,Low,No
61,Male,30,African-American,0,2,0,0,0,0,Low,No
62,Female,39,Caucasian,0,1,0,0,1,1,Low,Yes
63,Male,30,Caucasian,0,4,0,0,0,0,Low,No
64,Male,31,Caucasian,0,5,0,0,0,0,Medium,No
65,Female,39,Caucasian,0,4,0,0,0,0,Low,No
66,Male,59,African-American,0,9,0,0,1,1,High,Yes
67,Male,43,Caucasian,0,1,0,0,0,0,Low,No
68,Male,34,Caucasian,0,5,0,0,0,0,Medium,No
69,Male,37,African-American,0,2,0,0,0,0,Low,No
70,Male,31,African-American,0,7,0,0,0,0,Medium,No
71,Female,30,Other,0,2,0,0,0,0,Low,No
72,Male,31,Caucasian,0,10,0,0,1,1,High,Yes
73,Male,56,African-American,0,9,0,0,0,0,High,No
74,Male,52,Caucasian,0,9,0,0,0,0,High,No
75,Female,64,Caucasian,0,1,0,0,0,0,Low,No
76,Male,42,Caucasian,0,3,0,0,0,0,Low,No
77,Female,25,Caucasian,0,4,0,0,0,0,Low,No
78,Male,30,Caucasian,0,2,0,0,0,0,Low,No
79,Male,28,Caucasian,0,1,0,0,0,0,Low,No
80,Female,37,Other,0,2,0,0,0,0,Low,No
81,Female,24,African-American,0,2,0,0,0,0,Low,No
82,Female,30,Hispanic,0,5,0,0,1,1,Medium,Yes
83,Male,31,African-American,0,2,0,0,1,0,Low,No
84,Female,45,Caucasian,0,4,0,0,0,0,Low,No
85,Female,20,African-American,1,10,0,0,0,0,High,No
86,Female,43,Caucasian,0,1,0,0,0,0,Low,No
87,Male,32,African-American,0,6,0,0,1,1,Medium,Yes
88,Male,33,African-American,0,5,0,0,1,1,Medium,Yes
89,Female,20,African-American,0,6,0,0,0,0,Medium,No
90,Female,26,Caucasian,0,6,0,0,0,0,Medium,No
91,Male,63,Hispanic,0,1,0,0,0,0,Low,No
92,Female,32,African-American,0,10,0,0,1,1,High,Yes
93,Male,29,Hispanic,0,4,0,0,0,0,Low,No
94,Female,46,Other,0,2,0,0,0,0,Low,No
95,Male,55,African-American,0,1,0,0,0,0,Low,No
96,Male,39,Caucasian,1,4,0,0,0,0,Low,No
97,Male,30,African-American,0,7,0,0,0,0,Medium,No
98,Male,48,Caucasian,0,2,0,0,0,0,Low,No
99,Male,22,African-American,0,2,0,0,0,0,Low,No
100,Female,49,Caucasian,0,6,0,0,0,0,Medium,No
101,Male,31,Caucasian,0,5,0,0,0,0,Medium,No
102,Male,23,Hispanic,0,3,0,0,0,0,Low,No
103,Female,32,African-American,0,7,0,0,0,0,Medium,No
104,Male,52,Hispanic,0,1,0,0,0,0,Low,No
105,Male,62,African-American,0,4,0,0,0,0,Low,No
106,Female,37,Caucasian,0,10,0,0,0,0,High,No
107,Male,55,Caucasian,0,1,0,0,0,0,Low,No
108,Male,28,African-American,0,6,0,0,1,1,Medium,Yes
109,Male,54,Hispanic,0,1,0,0,0,0,Low,No
110,Male,58,Hispanic,0,2,0,0,0,0,Low,No
111,Male,56,Caucasian,0,1,0,0,0,0,Low,No
112,Male,24,Other,0,2,0,0,0,0,Low,No
113,Male,57,Hispanic,0,1,0,0,0,0,Low,No
114,Male,66,African-American,0,1,0,0,1,1,Low,No
115,Male,37,African-American,0,9,0,0,1,1,High,Yes
116,Male,45,Caucasian,0,3,0,0,0,0,Low,No
117,Male,23,African-American,0,3,0,0,1,1,Low,Yes
118,Male,34,African-American,0,2,0,0,1,0,Low,No
119,Female,23,African-American,0,4,0,0,0,0,Low,No
120,Male,50,Caucasian,0,1,0,0,0,0,Low,No
121,Female,37,Caucasian,0,3,0,0,0,0,Low,No
122,Male,44,Caucasian,0,4,0,0,0,0,Low,No
123,Male,27,African-American,0,2,0,0,0,0,Low,No
124,Female,28,African-American,0,8,0,0,0,0,High,No
125,Male,43,Caucasian,0,5,0,0,1,1,Medium,Yes
126,Male,38,African-American,0,1,0,0,0,0,Low,No
127,Male,27,Caucasian,0,4,0,0,0,0,Low,No
128,Female,28,African-American,0,9,0,0,0,0,High,No
129,Male,38,African-American,0,9,0,0,0,0,High,No
130,Male,28,African-American,0,5,0,0,0,0,Medium,No
131,Male,45,African-American,0,6,0,0,0,0,Medium,No
132,Male,28,Hispanic,0,2,0,0,0,0,Low,No
133,Male,61,Caucasian,0,1,0,0,0,0,Low,No
134,Female,51,Caucasian,0,1,0,0,1,1,Low,Yes
135,Male,51,Caucasian,0,2,0,0,0,0,Low,No
136,Male,48,African-American,0,1,0,0,0,0,Low,No
137,Female,30,African-American,0,7,0,0,0,0,Medium,No
138,Female,41,African-American,0,6,0,0,0,0,Medium,No
139,Male,37,African-American,0,1,0,0,1,1,Low,No
140,Male,54,African-American,0,9,0,0,0,0,High,No
141,Male,23,African-American,0,9,0,0,0,0,High,No
142,Male,41,African-American,0,1,0,0,0,0,Low,No
143,Male,52,Caucasian,0,1,0,0,0,0,Low,No
144,Male,52,African-American,0,4,0,0,0,0,Low,No
145,Male,28,Caucasian,0,1,0,0,0,0,Low,No
146,Male,30,African-American,0,9,0,2,1,1,High,Yes
147,Male,28,Caucasian,0,5,0,0,0,0,Medium,No
148,Male,22,African-American,0,4,0,0,0,0,Low,No
149,Male,30,African-American,0,2,0,0,0,0,Low,No
150,Male,25,Hispanic,0,4,0,0,0,0,Low,No
151,Male,32,African-American,0,9,1,0,0,0,High,No
152,Male,26,African-American,0,8,1,0,0,0,High,No
153,Male,53,Caucasian,0,1,0,0,0,0,Low,No
154,Male,25,African-American,0,3,0,0,0,0,Low,No
155,Female,37,Other,0,1,0,0,0,0,Low,No
156,Female,40,Other,0,2,0,0,0,0,Low,No
157,Male,36,Caucasian,0,7,0,0,1,1,Medium,Yes
158,Male,30,Caucasian,0,2,0,0,0,0,Low,No
159,Male,22,African-American,0,9,0,0,1,1,High,Yes
160,Female,24,Caucasian,0,7,0,0,1,1,Medium,Yes
161,Female,31,Hispanic,0,2,0,0,0,0,Low,No
162,Male,24,Hispanic,0,8,0,0,0,0,High,No
163,Male,29,African-American,0,3,0,0,0,0,Low,No
164,Male,20,African-American,0,8,0,0,1,1,High,Yes
165,Male,39,Other,0,1,0,0,0,0,Low,No
166,Male,27,African-American,0,4,0,0,0,0,Low,No
167,Male,31,Caucasian,0,4,0,0,1,0,Low,No
168,Female,37,African-American,0,1,0,0,0,0,Low,No
169,Male,20,African-American,0,8,0,0,0,0,High,No
170,Male,22,Hispanic,0,7,0,1,0,0,Medium,No
171,Female,52,African-American,0,1,0,0,0,0,Low,No
172,Female,48,African-American,0,2,0,0,0,0,Low,No
173,Male,25,Caucasian,0,5,0,0,0,0,Medium,No
174,Male,27,Caucasian,0,6,0,0,1,1,Medium,Yes
175,Female,22,Caucasian,0,3,0,0,0,0,Low,No
176,Male,35,African-American,0,10,0,0,0,0,High,No
177,Male,32,Caucasian,0,4,0,0,0,0,Low,No
178,Female,41,African-American,0,3,0,0,0,0,Low,No
179,Female,25,Other,0,2,0,0,0,0,Low,No
180,Male,44,African-American,0,7,0,0,0,0,Medium,No
181,Male,43,African-American,0,1,0,0,0,0,Low,No
182,Male,37,Caucasian,0,1,0,0,0,0,Low,No
183,Male,28,African-American,0,4,0,0,1,1,Low,Yes
184,Male,70,Caucasian,0,1,0,0,0,0,Low,No
185,Male,46,Caucasian,0,4,0,0,0,0,Low,No
186,Male,26,African-American,0,8,0,0,1,1,High,Yes
187,Male,34,Caucasian,0,4,0,0,0,0,Low,No
188,Male,34,African-American,0,4,0,0,0,0,Low,No
189,Male,30,African-American,0,1,0,0,0,0,Low,No
190,Male,24,Other,0,3,0,0,0,0,Low,No
191,Male,33,Caucasian,0,3,0,0,1,1,Low,Yes
192,Male,58,Caucasian,0,3,0,0,0,0,Low,No
193,Female,21,African-American,0,6,0,0,0,0,Medium,No
194,Male,21,African-American,0,5,0,0,1,0,Medium,No
195,Male,62,Caucasian,0,1,0,0,0,0,Low,No
196,Male,37,Caucasian,0,3,0,0,0,0,Low,No
197,Female,32,African-American,0,1,0,0,0,0,Low,No
198,Male,23,Hispanic,0,3,0,0,0,0,Low,No
199,Male,27,African-American,0,1,0,0,0,0,Low,No
200,Female,42,Caucasian,0,2,0,0,0,0,Low,No
201,Male,24,Other,0,10,1,0,1,1,High,Yes
202,Male,27,African-American,0,2,0,0,0,0,Low,No
203,Female,51,Caucasian,0,1,0,0,0,0,Low,No
204,Male,56,Caucasian,0,1,0,0,0,0,Low,No
205,Male,29,African-American,0,9,0,0,0,0,High,No
206,Male,53,Caucasian,0,1,0,0,0,0,Low,No
207,Male,27,Caucasian,0,5,0,0,0,0,Medium,No
208,Male,24,African-American,0,9,1,0,1,1,High,Yes
209,Male,28,Caucasian,0,3,0,0,1,1,Low,Yes
210,Male,45,African-American,0,1,0,0,0,0,Low,No
211,Male,21,Hispanic,0,5,1,0,1,0,Medium,No
212,Female,36,African-American,0,7,0,0,0,0,Medium,No
213,Female,23,Hispanic,0,3,0,0,1,0,Low,No
214,Male,28,Caucasian,0,5,0,0,0,0,Medium,No
215,Male,36,Caucasian,0,3,0,0,0,0,Low,No
216,Male,24,African-American,0,3,0,0,0,0,Low,No
217,Male,29,African-American,0,1,0,0,0,0,Low,No
218,Female,30,Caucasian,0,6,0,0,0,0,Medium,No
219,Male,51,Hispanic,0,1,0,0,0,0,Low,No
220,Male,33,Other,0,1,0,0,0,0,Low,No
221,Female,25,African-American,0,6,0,0,0,0,Medium,No
222,Male,32,African-American,0,9,1,0,1,1,High,Yes
223,Male,23,African-American,0,6,0,1,0,0,Medium,No
224,Male,47,African-American,0,3,0,0,0,0,Low,No
225,Male,37,Caucasian,0,1,0,0,0,0,Low,No
226,Male,27,Hispanic,0,8,0,0,0,0,High,No
227,Male,39,Other,0,1,0,0,0,0,Low,No
228,Female,21,Caucasian,0,6,0,2,0,0,Medium,No
229,Male,69,Caucasian,0,1,0,0,0,0,Low,No
230,Male,21,Caucasian,0,6,0,0,0,0,Medium,No
231,Male,22,Caucasian,0,4,0,0,0,0,Low,No
232,Male,49,African-American,0,5,0,0,0,0,Medium,No
233,Male,29,African-American,0,4,0,1,1,0,Low,No
234,Female,60,Caucasian,0,1,0,0,0,0,Low,No
235,Female,26,African-American,0,10,0,0,0,0,High,No
236,Male,34,Hispanic,0,5,0,0,1,1,Medium,Yes
237,Female,20,Other,1,4,0,0,0,0,Low,No
238,Male,36,Hispanic,0,3,0,0,0,0,Low,No
239,Male,30,Caucasian,0,4,0,0,0,0,Low,No
240,Male,21,African-American,0,3,1,0,1,0,Low,No
241,Male,57,African-American,0,8,0,0,0,0,High,No
242,Male,34,Caucasian,0,1,0,0,0,0,Low,No
243,Female,53,Caucasian,0,1,0,0,0,0,Low,No
244,Female,24,African-American,0,4,0,0,0,0,Low,No
245,Male,42,African-American,0,1,0,0,0,0,Low,No
246,Male,28,African-American,0,3,0,0,0,0,Low,No
247,Male,24,Caucasian,0,4,0,0,0,0,Low,No
248,Male,22,African-American,0,9,0,0,1,1,High,Yes
249,Male,21,Caucasian,0,7,0,0,0,0,Medium,No
250,Male,35,African-American,0,5,0,0,0,0,Medium,No
251,Male,53,African-American,0,1,0,0,0,0,Low,No
252,Male,60,African-American,0,1,0,0,0,0,Low,No
253,Male,29,African-American,0,4,0,0,1,0,Low,No
254,Male,48,Caucasian,1,8,0,0,1,1,High,Yes
255,Female,52,Caucasian,0,1,0,0,0,0,Low,No
256,Male,28,African-American,0,9,0,0,1,0,High,No
257,Male,33,Caucasian,0,3,0,0,0,0,Low,No
258,Female,28,Hispanic,0,2,0,0,0,0,Low,No
259,Male,29,African-American,1,5,0,0,0,0,Medium,No
260,Male,26,African-American,0,7,0,2,0,0,Medium,No
261,Male,25,Caucasian,0,2,0,0,0,0,Low,No
262,Male,68,Caucasian,0,1,0,0,0,0,Low,No
263,Male,56,African-American,0,3,0,0,0,0,Low,No
264,Male,27,African-American,0,8,0,0,1,1,High,Yes
265,Male,32,African-American,0,2,0,0,0,0,Low,No
266,Male,60,Other,0,1,0,0,0,0,Low,No
267,Male,23,Hispanic,0,3,0,0,0,0,Low,No
268,Female,39,Caucasian,0,6,0,0,0,0,Medium,No
269,Male,56,Caucasian,0,1,0,0,0,0,Low,No
270,Female,22,African-American,0,7,0,0,0,0,Medium,No
271,Male,53,African-American,0,6,0,0,0,0,Medium,No
272,Male,21,Hispanic,0,3,0,0,0,0,Low,No
273,Male,22,Caucasian,0,3,0,0,0,0,Low,No
274,Female,58,Caucasian,0,1,0,0,0,0,Low,No
275,Male,42,Other,0,1,0,0,0,0,Low,No
276,Male,29,Caucasian,0,6,0,0,1,1,Medium,Yes
277,Male,29,African-American,0,10,0,0,0,0,High,No
278,Male,22,African-American,0,7,0,0,0,0,Medium,No
279,Male,37,Caucasian,0,4,0,0,0,0,Low,No
280,Male,27,Caucasian,0,1,0,0,0,0,Low,No
281,Male,26,African-American,0,4,0,0,0,0,Low,No
282,Male,33,Caucasian,0,1,0,0,0,0,Low,No
283,Male,29,African-American,0,6,0,0,0,0,Medium,No
284,Male,36,Caucasian,0,1,0,0,0,0,Low,No
285,Female,24,Caucasian,0,5,0,0,0,0,Medium,No
286,Male,34,Caucasian,0,1,0,0,0,0,Low,No
287,Male,25,Hispanic,0,5,0,0,1,1,Medium,Yes
288,Male,28,Hispanic,0,5,0,0,1,1,Medium,Yes
289,Male,24,African-American,0,2,0,0,1,1,Low,Yes
290,Male,61,Caucasian,0,1,0,0,0,0,Low,No
291,Female,50,African-American,0,2,0,0,0,0,Low,No
292,Male,30,African-American,0,1,0,0,0,0,Low,No
293,Male,38,African-American,0,3,0,0,0,0,Low,No
294,Male,24,Caucasian,0,1,0,0,0,0,Low,No
295,Male,45,African-American,0,2,0,0,0,0,Low,No
296,Male,20,Other,0,8,0,1,1,1,High,Yes
297,Male,27,African-American,0,8,0,0,1,1,High,Yes
298,Female,51,African-American,0,8,0,0,0,0,High,No
299,Male,28,Caucasian,0,4,0,0,1,1,Low,Yes
300,Male,26,African-American,1,9,1,0,1,1,High,Yes
301,Male,28,African-American,0,10,0,0,0,0,High,No
302,Male,63,Caucasian,0,1,0,0,0,0,Low,No
303,Male,42,African-American,0,1,0,0,0,0,Low,No
304,Male,23,African-American,1,6,2,2,1,1,Medium,No
305,Male,54,African-American,0,1,0,0,0,0,Low,No
306,Male,35,African-American,0,2,0,0,0,0,Low,No
307,Male,20,African-American,0,10,0,0,1,1,High,Yes
308,Male,51,Caucasian,0,1,0,0,0,0,Low,No
309,Male,24,Hispanic,0,10,0,0,0,0,High,No
310,Male,37,Caucasian,0,2,0,0,0,0,Low,No
311,Male,47,Caucasian,0,1,0,0,0,0,Low,No
312,Male,56,Caucasian,0,1,0,0,0,0,Low,No
313,Male,35,Asian,0,6,0,0,0,0,Medium,No
314,Male,58,Hispanic,0,1,0,0,0,0,Low,No
315,Male,29,Hispanic,0,4,0,0,0,0,Low,No
316,Female,24,Caucasian,0,9,0,1,1,1,High,Yes
317,Male,21,Caucasian,0,9,0,4,1,1,High,Yes
318,Male,26,African-American,0,9,0,0,0,0,High,No
319,Male,26,African-American,0,2,0,0,0,0,Low,No
320,Female,30,Caucasian,0,2,0,0,0,0,Low,No
321,Male,29,Caucasian,0,4,0,0,1,1,Low,Yes
322,Male,54,African-American,0,1,0,0,0,0,Low,No
323,Male,29,African-American,0,4,0,0,1,1,Low,Yes
324,Female,59,Caucasian,0,1,0,0,0,0,Low,No
325,Male,38,African-American,0,5,0,0,0,0,Medium,No
326,Male,29,African-American,0,7,0,0,1,1,Medium,Yes
327,Male,52,Hispanic,0,3,0,0,0,0,Low,No
328,Male,27,Caucasian,0,5,0,0,0,0,Medium,No
329,Male,51,Caucasian,0,1,0,0,0,0,Low,No
330,Male,35,Caucasian,0,2,0,0,0,0,Low,No
331,Male,26,African-American,0,7,0,0,0,0,Medium,No
332,Male,52,Caucasian,0,3,0,0,0,0,Low,No
333,Female,35,African-American,0,2,0,0,0,0,Low,No
334,Male,48,Other,0,5,0,0,0,0,Medium,No
335,Female,26,African-American,0,2,0,0,0,0,Low,No
336,Female,48,Caucasian,0,1,0,0,0,0,Low,No
337,Male,30,Hispanic,0,4,0,0,0,0,Low,No
338,Male,28,Other,0,1,0,0,0,0,Low,No
339,Male,33,African-American,0,3,0,0,0,0,Low,No
340,Female,34,African-American,0,4,0,0,0,0,Low,No
341,Male,25,Other,0,1,0,0,0,0,Low,No
342,Male,24,Caucasian,0,2,0,0,0,0,Low,No
343,Male,55,African-American,0,8,0,0,1,1,High,Yes
344,Male,52,African-American,0,5,0,0,0,0,Medium,No
345,Male,24,Caucasian,0,2,0,0,0,0,Low,No
346,Male,23,Caucasian,0,9,0,0,0,0,High,No
347,Male,27,Caucasian,0,4,1,3,1,0,Low,No
348,Male,31,African-American,0,2,0,0,0,0,Low,No
349,Male,32,Caucasian,0,1,0,0,1,1,Low,Yes
350,Male,37,Other,0,1,0,0,0,0,Low,No
351,Male,25,Caucasian,0,3,0,0,0,0,Low,No
352,Male,32,Hispanic,1,10,1,0,0,0,High,No
353,Male,35,African-American,0,7,0,0,0,0,Medium,No
354,Male,24,Caucasian,0,10,0,1,1,1,High,Yes
355,Male,47,Caucasian,0,1,0,0,0,0,Low,No
356,Male,44,African-American,0,3,0,0,0,0,Low,No
357,Male,27,African-American,0,5,0,0,0,0,Medium,No
358,Male,23,Caucasian,0,2,0,0,0,0,Low,No
359,Female,50,Hispanic,0,1,0,0,0,0,Low,No
360,Male,42,African-American,0,5,0,0,0,0,Medium,No
361,Male,58,African-American,0,6,0,0,0,0,Medium,No
362,Male,26,African-American,0,6,0,1,1,0,Medium,No
363,Female,48,Other,0,1,0,0,0,0,Low,No
364,Male,21,African-American,0,5,2,0,1,1,Medium,Yes
365,Male,63,Caucasian,0,1,0,0,0,0,Low,No
366,Male,22,African-American,0,7,1,0,1,1,Medium,Yes
367,Male,50,African-American,0,3,0,0,0,0,Low,No
368,Male,38,African-American,0,1,0,0,0,0,Low,No
369,Male,41,Caucasian,0,6,0,0,0,0,Medium,No
370,Male,28,African-American,8,8,0,1,1,1,High,Yes
371,Female,30,African-American,0,3,0,0,0,0,Low,No
372,Male,23,African-American,0,5,0,0,0,0,Medium,No
373,Male,40,Caucasian,0,4,0,0,0,0,Low,No
374,Male,24,Hispanic,0,8,0,0,0,0,High,No
375,Male,44,Caucasian,0,3,0,0,0,0,Low,No
376,Female,35,African-American,0,2,0,0,1,1,Low,Yes
377,Male,42,Caucasian,0,1,0,0,0,0,Low,No
378,Male,38,African-American,0,7,0,0,1,0,Medium,No
379,Male,26,Hispanic,0,6,0,0,0,0,Medium,No
380,Female,25,African-American,0,3,0,0,0,0,Low,No
381,Male,24,Caucasian,0,4,0,0,0,0,Low,No
382,Male,64,Hispanic,0,1,0,0,0,0,Low,No
383,Female,46,Caucasian,0,1,0,0,0,0,Low,No
384,Male,30,African-American,0,6,0,1,1,1,Medium,Yes
385,Female,22,Caucasian,0,3,0,0,0,0,Low,No
386,Male,23,Caucasian,0,4,0,0,0,0,Low,No
387,Male,31,Hispanic,0,1,0,0,0,0,Low,No
388,Male,31,Other,0,2,0,0,0,0,Low,No
389,Male,28,African-American,0,8,0,0,1,0,High,No
390,Male,25,African-American,0,3,0,0,1,1,Low,No
391,Female,21,Caucasian,0,7,0,0,0,0,Medium,No
392,Male,27,African-American,0,2,0,0,0,0,Low,No
393,Male,32,Hispanic,0,1,0,0,0,0,Low,No
394,Female,24,Caucasian,0,5,0,1,0,0,Medium,No
395,Male,20,African-American,1,3,0,0,0,0,Low,No
396,Male,27,African-American,0,7,0,0,1,1,Medium,Yes
397,Male,40,African-American,0,2,0,0,0,0,Low,No
398,Male,22,African-American,0,10,0,0,1,1,High,Yes
399,Female,38,African-American,0,1,0,0,0,0,Low,No
400,Male,30,African-American,0,7,0,0,0,0,Medium,No
401,Male,27,Caucasian,0,6,0,0,1,1,Medium,Yes
402,Male,43,African-American,0,1,0,0,0,0,Low,No
403,Female,59,Caucasian,0,1,0,0,0,0,Low,No
404,Male,37,Caucasian,0,1,0,0,0,0,Low,No
405,Male,38,Caucasian,0,1,0,0,0,0,Low,No
406,Male,43,Hispanic,0,1,0,0,0,0,Low,No
407,Male,25,African-American,0,5,0,0,1,1,Medium,Yes
408,Male,51,Caucasian,0,1,0,0,0,0,Low,No
409,Male,30,Hispanic,0,5,0,0,1,1,Medium,Yes
410,Male,28,African-American,0,3,0,0,0,0,Low,No
411,Male,26,African-American,0,8,0,0,0,0,High,No
412,Female,23,Caucasian,0,10,0,0,0,0,High,No
413,Female,22,African-American,0,5,0,0,0,0,Medium,No
414,Male,31,African-American,0,1,0,0,0,0,Low,No
415,Male,29,African-American,0,1,0,0,0,0,Low,No
416,Male,24,African-American,0,10,0,0,1,1,High,Yes
417,Male,31,Hispanic,0,2,0,0,0,0,Low,No
418,Male,27,Caucasian,0,9,0,0,0,0,High,No
419,Male,25,Caucasian,0,5,0,0,0,0,Medium,No
420,Male,38,African-American,0,1,0,0,0,0,Low,No
421,Male,22,Other,0,9,0,0,0,0,High,No
422,Female,58,African-American,0,2,0,0,1,1,Low,Yes
423,Male,21,African-American,0,3,0,1,0,0,Low,No
424,Female,22,African-American,0,8,0,0,0,0,High,No
425,Male,30,African-American,0,2,0,0,0,0,Low,No
426,Male,22,Caucasian,0,4,0,0,1,1,Low,Yes
427,Female,31,African-American,0,6,0,0,0,0,Medium,No
428,Female,45,Caucasian,0,6,0,0,0,0,Medium,No
429,Male,23,African-American,0,7,0,0,0,0,Medium,No
430,Male,27,African-American,0,7,0,0,1,1,Medium,Yes
431,Male,38,Caucasian,0,1,0,0,1,1,Low,Yes
432,Male,47,African-American,0,9,0,0,0,0,High,No
433,Male,22,African-American,0,7,1,0,0,0,Medium,No
434,Male,35,African-American,0,9,0,1,1,1,High,Yes
435,Male,65,African-American,0,2,0,0,1,1,Low,Yes
436,Male,35,African-American,0,4,0,0,0,0,Low,No
437,Female,33,African-American,0,3,0,0,0,0,Low,No
438,Male,53,Caucasian,0,1,0,0,0,0,Low,No
439,Male,52,Hispanic,0,1,0,0,0,0,Low,No
440,Male,21,African-American,0,5,0,0,0,0,Medium,No
441,Male,37,African-American,0,4,0,0,0,0,Low,No
442,Male,30,Other,0,9,0,0,1,1,High,Yes
443,Male,33,Caucasian,0,5,0,0,0,0,Medium,No
444,Male,31,African-American,0,7,0,0,0,0,Medium,No
445,Male,54,Other,0,1,0,0,0,0,Low,No
446,Female,31,African-American,0,1,0,0,0,0,Low,No
447,Female,59,Caucasian,0,3,0,0,0,0,Low,No
448,Male,27,African-American,0,2,0,0,0,0,Low,No
449,Male,36,African-American,0,7,0,0,1,1,Medium,Yes
450,Male,22,African-American,0,9,0,1,0,0,High,No
451,Female,28,Caucasian,0,2,0,0,0,0,Low,No
452,Male,23,African-American,0,10,0,1,1,1,High,Yes
453,Male,27,African-American,0,4,0,0,0,0,Low,No
454,Male,21,Asian,0,6,0,1,1,1,Medium,Yes
455,Female,32,African-American,0,2,0,0,0,0,Low,No
456,Male,31,African-American,0,7,0,0,0,0,Medium,No
457,Male,36,African-American,0,5,1,0,0,0,Medium,No
458,Male,36,African-American,0,5,0,0,0,0,Medium,No
459,Male,53,Caucasian,0,1,0,0,0,0,Low,No
460,Male,21,African-American,1,10,0,0,0,0,High,No
461,Male,33,African-American,0,8,0,0,1,1,High,Yes
462,Male,28,African-American,0,4,0,0,0,0,Low,No
463,Male,24,African-American,0,6,0,0,0,0,Medium,No
464,Male,44,African-American,0,1,0,0,0,0,Low,No
465,Male,46,African-American,0,1,0,0,0,0,Low,No
466,Male,37,African-American,0,3,0,0,0,0,Low,No
467,Male,27,African-American,0,8,1,0,1,1,High,Yes
468,Male,40,Caucasian,0,2,0,0,0,0,Low,No
469,Male,53,Caucasian,0,1,0,0,0,0,Low,No
470,Male,26,African-American,0,6,1,0,0,0,Medium,No
471,Male,28,African-American,0,1,0,0,0,0,Low,No
472,Male,23,Hispanic,0,4,0,0,0,0,Low,No
473,Female,46,Caucasian,0,8,0,0,0,0,High,No
