,checking_acc,credit_historic,saving_acc,atual_employ_since,installment_rate,sex,housing,credits_at_bank,classification
31,2,Existing credits paid,2,2,2,Male,Own,2,Good
32,0,Critical acc/Other cr existing,0,4,4,Male,Rent,1,Good
33,3,Existing credits paid,1,1,4,Female,Own,1,Good
34,2,Critical acc/Other cr existing,1,1,4,Male,Own,2,Bad
35,0,Critical acc/Other cr existing,1,2,1,Male,For free,1,Good
36,3,Existing credits paid,1,2,4,Male,Own,1,Bad
37,3,Existing credits paid,1,2,2,Male,Own,1,Good
38,2,Existing credits paid,1,2,4,Male,Own,1,Good
39,0,Existing credits paid,3,4,4,Male,Own,1,Good
40,2,Existing credits paid,3,2,3,Male,Own,1,Good
41,2,Delay in paying,1,2,2,Male,Own,1,Good
42,1,Critical acc/Other cr existing,2,3,1,Male,Rent,2,Good
43,1,Critical acc/Other cr existing,1,4,4,Female,For free,2,Bad
44,0,Critical acc/Other cr existing,1,1,4,Female,Own,2,Good
45,0,Existing credits paid,3,4,4,Male,Own,1,Good
46,1,Existing credits paid,3,0,1,Female,Rent,1,Good
47,0,Critical acc/Other cr existing,1,2,1,Male,Own,2,Good
48,0,Existing credits paid,2,2,4,Female,Own,1,Good
49,2,Delay in paying,0,1,4,Male,Own,1,Good
50,2,Delay in paying,1,4,1,Male,Own,2,Good
51,0,Existing credits paid,1,2,3,Male,Own,1,Good
52,0,Existing credits paid,0,2,2,Male,Own,1,Good
53,2,Delay in paying,1,4,4,Male,For free,2,Bad
54,0,All cr at this bank paid,0,2,1,Male,Own,1,Good
55,2,Existing credits paid,0,0,2,Male,Own,1,Bad
56,0,Critical acc/Other cr existing,1,2,2,Female,Own,2,Good
57,3,Existing credits paid,1,4,3,Female,Own,1,Good
58,1,Critical acc/Other cr existing,1,1,4,Female,Rent,2,Bad
59,2,Existing credits paid,1,2,2,Male,Own,1,Good
60,2,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
61,2,No cr taken/all cr paid,1,4,4,Male,For free,1,Bad
62,2,No cr taken/all cr paid,1,2,2,Male,Own,1,Bad
63,0,Existing credits paid,1,1,4,Female,Own,1,Good
64,0,Existing credits paid,0,4,4,Male,Own,4,Good
65,0,Existing credits paid,1,1,2,Female,Own,1,Good
66,2,Existing credits paid,4,2,4,Male,Own,1,Good
67,0,Existing credits paid,1,2,4,Male,For free,1,Bad
68,0,Existing credits paid,0,2,4,Female,Own,1,Good
69,0,Existing credits paid,1,2,1,Female,Own,1,Good
70,0,Critical acc/Other cr existing,0,4,4,Male,Rent,2,Good
71,1,Critical acc/Other cr existing,1,4,3,Male,For free,2,Good
72,2,Critical acc/Other cr existing,1,3,2,Female,Own,2,Good
73,1,Existing credits paid,0,4,4,Male,Own,1,Bad
74,1,Critical acc/Other cr existing,1,4,4,Male,For free,2,Good
75,1,Existing credits paid,1,1,4,Male,Own,1,Bad
76,2,Delay in paying,1,3,2,Male,Own,1,Good
77,0,No cr taken/all cr paid,0,2,2,Male,Own,1,Good
78,2,Existing credits paid,1,1,2,Male,Own,1,Good
79,0,Existing credits paid,0,1,1,Female,Own,2,Bad
80,0,Existing credits paid,3,4,4,Male,Own,1,Good
81,0,Existing credits paid,2,2,3,Female,Rent,1,Good
82,1,Existing credits paid,1,4,4,Female,Own,1,Good
83,1,Existing credits paid,1,4,3,Male,Own,1,Good
84,0,Critical acc/Other cr existing,1,2,4,Female,Own,2,Good
85,2,Critical acc/Other cr existing,1,1,4,Female,Own,2,Good
86,2,Existing credits paid,2,2,1,Male,For free,1,Bad
87,1,Existing credits paid,2,3,4,Male,Own,1,Good
88,1,No cr taken/all cr paid,1,3,4,Male,Own,2,Bad
89,0,Critical acc/Other cr existing,1,4,4,Male,Own,1,Good
90,1,Critical acc/Other cr existing,1,4,4,Male,Own,1,Good
91,0,Critical acc/Other cr existing,0,4,4,Female,Own,1,Bad
92,3,Critical acc/Other cr existing,0,4,4,Male,Rent,2,Good
93,2,Existing credits paid,4,4,4,Male,Own,1,Good
94,2,No cr taken/all cr paid,1,1,3,Male,Rent,1,Bad
95,0,Critical acc/Other cr existing,0,3,4,Female,Own,1,Good
96,2,Existing credits paid,2,2,4,Male,Own,1,Good
97,2,Critical acc/Other cr existing,1,4,4,Male,Own,1,Good
98,2,Delay in paying,0,3,3,Male,Rent,2,Good
99,0,Existing credits paid,2,4,4,Male,Rent,1,Good
100,2,Existing credits paid,1,3,4,Male,Rent,1,Good
101,0,Delay in paying,1,2,3,Female,Own,1,Good
102,2,Critical acc/Other cr existing,1,3,4,Male,Rent,1,Good
103,0,Existing credits paid,0,1,2,Male,Rent,1,Good
104,2,Critical acc/Other cr existing,1,2,2,Male,Own,2,Bad
105,0,All cr at this bank paid,1,4,2,Male,Own,2,Bad
106,2,Existing credits paid,1,3,2,Male,Own,1,Good
107,1,Existing credits paid,0,1,1,Female,Own,1,Good
108,2,Existing credits paid,3,4,1,Male,Own,1,Good
109,2,Delay in paying,2,4,1,Male,Own,2,Good
110,3,Existing credits paid,1,1,4,Female,Rent,1,Good
111,2,Existing credits paid,1,3,3,Male,Rent,1,Good
112,0,Critical acc/Other cr existing,1,2,4,Female,Own,2,Bad
113,1,Existing credits paid,3,4,3,Male,Own,1,Good
114,0,Critical acc/Other cr existing,0,4,4,Male,Own,1,Good
115,1,Existing credits paid,0,3,4,Female,Own,1,Bad
116,1,Critical acc/Other cr existing,0,1,2,Female,Rent,2,Good
117,1,Critical acc/Other cr existing,3,2,1,Female,Own,2,Bad
118,2,Critical acc/Other cr existing,3,3,3,Male,Own,1,Good
119,1,Existing credits paid,1,2,3,Female,Own,2,Bad
120,0,Critical acc/Other cr existing,1,4,4,Female,Rent,2,Good
121,0,Existing credits paid,1,2,3,Male,Rent,1,Good
122,3,Critical acc/Other cr existing,1,4,4,Male,For free,2,Good
123,2,Existing credits paid,0,1,4,Female,Rent,1,Bad
124,1,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
125,1,Existing credits paid,1,2,4,Male,Own,1,Good
126,2,Existing credits paid,1,2,4,Male,Own,1,Bad
127,2,Critical acc/Other cr existing,1,0,4,Male,Own,2,Good
128,1,Critical acc/Other cr existing,1,2,3,Female,Own,2,Bad
129,2,Existing credits paid,0,3,1,Female,Own,1,Good
130,1,Delay in paying,1,2,4,Male,Own,1,Bad
131,0,Existing credits paid,1,1,2,Male,Own,2,Good
132,0,Existing credits paid,1,2,4,Male,For free,2,Good
133,0,Existing credits paid,2,3,2,Female,Own,1,Good
134,0,Critical acc/Other cr existing,0,4,4,Female,Own,2,Good
135,0,Delay in paying,4,2,2,Male,Own,2,Good
136,2,Existing credits paid,3,2,4,Male,Own,1,Bad
137,2,Critical acc/Other cr existing,0,3,4,Male,Own,3,Good
138,3,Existing credits paid,1,2,2,Female,Rent,1,Good
139,3,Existing credits paid,4,1,2,Male,Own,1,Good
140,2,Existing credits paid,1,1,4,Female,Own,1,Good
141,1,Existing credits paid,1,2,3,Male,Own,1,Good
142,1,Existing credits paid,1,2,2,Male,Own,1,Bad
143,0,Critical acc/Other cr existing,1,1,4,Female,Own,1,Good
144,2,All cr at this bank paid,2,3,4,Male,Own,1,Good
145,1,Critical acc/Other cr existing,1,4,1,Female,Own,2,Good
146,0,Critical acc/Other cr existing,2,3,4,Female,Own,2,Good
147,1,Critical acc/Other cr existing,1,2,3,Male,Own,2,Good
148,0,Critical acc/Other cr existing,4,4,4,Male,Own,2,Good
149,0,Existing credits paid,2,4,2,Male,For free,1,Good
150,0,Existing credits paid,1,2,1,Male,Own,1,Good
151,3,Existing credits paid,1,2,4,Male,Own,1,Good
152,2,Critical acc/Other cr existing,4,4,2,Female,Rent,1,Good
153,2,Delay in paying,2,3,4,Male,Rent,1,Good
154,1,Existing credits paid,1,2,2,Female,Rent,1,Bad
155,1,Critical acc/Other cr existing,2,4,3,Male,Own,2,Good
156,1,All cr at this bank paid,1,4,4,Male,Own,1,Good
157,2,Existing credits paid,2,3,2,Male,Own,2,Good
158,0,Critical acc/Other cr existing,0,2,1,Male,Own,2,Good
159,0,Critical acc/Other cr existing,2,4,3,Male,Own,1,Good
160,0,Critical acc/Other cr existing,1,1,4,Female,Own,2,Good
161,0,Existing credits paid,3,3,4,Male,Own,2,Good
162,2,Existing credits paid,1,0,2,Male,For free,1,Good
163,0,Existing credits paid,3,4,4,Male,Own,1,Good
164,0,Existing credits paid,3,2,1,Male,Own,1,Good
165,1,Existing credits paid,1,0,4,Female,Own,1,Bad
166,2,Existing credits paid,4,1,4,Female,Own,1,Good
167,0,Existing credits paid,1,3,2,Female,Rent,1,Good
168,2,Critical acc/Other cr existing,1,4,4,Male,Own,2,Bad
169,1,No cr taken/all cr paid,1,4,4,Male,Rent,2,Bad
170,0,Existing credits paid,1,2,4,Female,Own,1,Good
171,2,Delay in paying,1,0,3,Female,Own,1,Bad
172,2,Existing credits paid,1,2,4,Male,Own,1,Good
173,1,Delay in paying,1,1,2,Male,Own,2,Bad
174,0,All cr at this bank paid,0,0,4,Female,Own,1,Bad
175,1,Existing credits paid,1,2,2,Male,Own,1,Good
176,1,Critical acc/Other cr existing,3,4,4,Male,Own,2,Good
177,0,Existing credits paid,1,3,4,Male,Rent,2,Good
178,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
179,0,Delay in paying,1,1,1,Male,Own,2,Bad
180,2,Delay in paying,1,2,2,Male,Own,2,Bad
181,1,All cr at this bank paid,0,2,4,Male,Own,2,Bad
182,0,Critical acc/Other cr existing,4,2,4,Male,Own,1,Good
183,2,Critical acc/Other cr existing,1,4,4,Male,Own,1,Bad
184,0,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
185,2,All cr at this bank paid,1,4,2,Female,For free,1,Bad
186,2,Critical acc/Other cr existing,1,0,2,Male,For free,3,Good
187,1,Existing credits paid,2,3,4,Male,Own,1,Bad
188,2,No cr taken/all cr paid,1,2,1,Female,Own,2,Good
189,0,Existing credits paid,4,2,2,Male,Own,3,Bad
190,2,No cr taken/all cr paid,2,3,4,Male,For free,1,Bad
191,2,Existing credits paid,1,2,4,Male,Own,1,Bad
192,0,Existing credits paid,1,3,2,Male,Rent,1,Good
193,2,Existing credits paid,2,2,4,Male,Rent,1,Bad
194,2,Critical acc/Other cr existing,1,4,2,Female,Own,2,Bad
195,0,Critical acc/Other cr existing,1,2,1,Female,Own,2,Good
196,2,Existing credits paid,2,1,4,Female,Rent,4,Bad
197,2,Existing credits paid,0,4,4,Male,For free,1,Good
198,2,Delay in paying,1,4,4,Male,Own,1,Bad
199,0,Critical acc/Other cr existing,3,4,4,Male,Own,2,Good
200,1,Existing credits paid,1,2,4,Male,Own,1,Good
201,0,Delay in paying,1,3,3,Male,Own,2,Good
202,1,Existing credits paid,1,3,4,Male,Rent,1,Bad
203,0,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
204,1,Critical acc/Other cr existing,1,4,3,Male,For free,3,Good
205,0,Critical acc/Other cr existing,1,4,4,Male,Own,3,Good
206,2,Critical acc/Other cr existing,1,3,4,Male,Own,1,Good
207,1,Existing credits paid,1,2,2,Male,Own,1,Good
208,0,Existing credits paid,4,3,3,Male,Own,1,Good
209,0,Critical acc/Other cr existing,0,2,1,Male,Own,2,Good
210,0,Existing credits paid,0,4,2,Female,Own,1,Good
211,1,No cr taken/all cr paid,1,0,2,Male,Own,2,Bad
212,3,Delay in paying,1,4,4,Male,Own,1,Bad
213,0,Critical acc/Other cr existing,0,4,4,Male,Own,1,Good
214,2,Critical acc/Other cr existing,0,3,1,Female,Own,2,Good
215,1,No cr taken/all cr paid,1,3,3,Male,Own,1,Good
216,3,Existing credits paid,1,2,2,Male,Own,1,Good
217,1,Existing credits paid,1,2,2,Male,Rent,1,Good
218,0,Existing credits paid,1,2,2,Female,Own,1,Good
219,2,Existing credits paid,1,1,4,Male,Own,1,Good
220,1,Existing credits paid,0,2,4,Female,Rent,1,Good
221,0,Existing credits paid,1,2,4,Male,Own,2,Good
222,0,Delay in paying,0,2,4,Male,Own,2,Good
223,0,Existing credits paid,1,2,3,Male,Own,1,Good
224,0,No cr taken/all cr paid,1,2,4,Male,Own,2,Good
225,2,Existing credits paid,4,3,1,Male,Own,2,Bad
226,1,Existing credits paid,1,4,4,Male,For free,1,Bad
227,0,Existing credits paid,1,3,4,Male,Own,1,Bad
228,1,Existing credits paid,1,1,4,Male,For free,1,Good
229,3,Existing credits paid,1,2,4,Male,Own,1,Bad
230,0,Existing credits paid,3,4,2,Male,For free,1,Good
231,0,Existing credits paid,2,3,3,Male,Own,1,Good
232,2,Existing credits paid,1,2,4,Male,Own,1,Good
233,0,Critical acc/Other cr existing,1,3,2,Male,Own,3,Good
234,1,Existing credits paid,1,0,4,Male,Own,1,Bad
235,2,Existing credits paid,0,0,1,Male,Own,1,Bad
236,2,Existing credits paid,2,4,4,Male,Rent,2,Bad
237,0,Critical acc/Other cr existing,1,2,4,Female,Own,2,Good
238,1,Existing credits paid,1,4,1,Male,Own,1,Good
239,1,Existing credits paid,0,4,4,Female,Own,1,Bad
240,0,Existing credits paid,1,3,3,Male,Own,1,Good
241,1,No cr taken/all cr paid,1,4,3,Male,For free,2,Bad
242,0,Critical acc/Other cr existing,1,2,3,Female,Own,2,Good
243,0,All cr at this bank paid,3,2,4,Female,Own,1,Good
244,0,Existing credits paid,1,3,4,Male,Own,1,Good
245,0,Critical acc/Other cr existing,1,4,4,Male,Own,3,Good
246,0,No cr taken/all cr paid,2,2,4,Male,Rent,1,Good
247,3,Existing credits paid,1,2,2,Male,Own,1,Good
248,0,Existing credits paid,1,0,3,Female,Rent,1,Bad
249,1,Critical acc/Other cr existing,4,3,3,Female,Own,2,Good
250,3,Existing credits paid,1,2,1,Female,Own,1,Good
251,2,Existing credits paid,1,2,4,Female,Own,1,Bad
252,0,Delay in paying,2,2,2,Male,Own,2,Good
253,2,Existing credits paid,0,3,2,Male,Own,1,Good
254,2,Delay in paying,0,2,1,Male,Own,1,Good
255,0,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
256,1,All cr at this bank paid,1,2,4,Male,For free,1,Bad
257,0,Existing credits paid,2,1,1,Female,Own,1,Good
258,0,Critical acc/Other cr existing,2,0,4,Female,Own,3,Good
259,1,Existing credits paid,1,2,2,Male,Own,1,Good
260,1,Existing credits paid,1,4,4,Female,Own,1,Good
261,1,Critical acc/Other cr existing,1,4,2,Male,For free,3,Good
262,0,Critical acc/Other cr existing,1,4,2,Female,For free,3,Good
263,0,Critical acc/Other cr existing,1,4,3,Male,Own,2,Good
264,2,Existing credits paid,1,4,4,Male,Own,1,Bad
265,0,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
266,0,Existing credits paid,1,1,4,Female,Own,1,Good
267,1,Existing credits paid,1,4,1,Male,Own,1,Bad
268,0,Existing credits paid,0,4,4,Male,Own,2,Good
269,0,Existing credits paid,0,3,4,Male,Own,1,Good
270,0,Critical acc/Other cr existing,3,3,3,Female,Rent,1,Good
271,2,All cr at this bank paid,0,0,4,Male,For free,1,Good
272,2,Existing credits paid,1,3,4,Male,Own,2,Bad
273,1,Existing credits paid,1,1,1,Male,Own,1,Bad
274,0,Existing credits paid,1,2,1,Male,Own,1,Good
275,0,Critical acc/Other cr existing,1,2,2,Female,Own,2,Good
276,1,Existing credits paid,0,4,2,Male,Own,1,Good
277,0,Existing credits paid,1,1,1,Female,Own,1,Bad
278,0,Existing credits paid,2,2,4,Male,Rent,1,Good
279,0,Critical acc/Other cr existing,4,4,3,Male,Rent,2,Good
280,0,Existing credits paid,1,2,4,Male,Own,1,Good
281,3,All cr at this bank paid,0,3,4,Male,Own,1,Good
282,0,Critical acc/Other cr existing,0,4,4,Male,Own,1,Good
283,2,Critical acc/Other cr existing,2,1,4,Male,Own,1,Good
284,1,Existing credits paid,1,1,1,Female,Own,1,Good
285,1,Existing credits paid,1,3,4,Male,Own,1,Good
286,2,Delay in paying,2,0,2,Male,For free,1,Good
287,2,Existing credits paid,1,2,4,Female,Own,2,Good
288,1,Delay in paying,1,1,4,Male,Own,1,Bad
289,0,Existing credits paid,1,2,2,Male,Own,1,Good
290,2,Existing credits paid,1,1,1,Male,Rent,1,Bad
291,1,Critical acc/Other cr existing,1,4,2,Female,For free,2,Good
292,3,Critical acc/Other cr existing,1,4,4,Male,For free,1,Good
293,0,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
294,2,Existing credits paid,1,1,1,Female,Own,1,Bad
295,0,Existing credits paid,0,1,1,Female,Rent,1,Good
296,0,Existing credits paid,0,4,4,Male,Own,1,Good
297,0,Existing credits paid,1,2,3,Male,Own,1,Good
298,2,Critical acc/Other cr existing,4,3,3,Male,Own,2,Good
299,0,Existing credits paid,1,0,1,Female,Own,1,Good
300,2,No cr taken/all cr paid,1,2,4,Female,Own,1,Bad
301,3,Critical acc/Other cr existing,0,3,4,Male,Own,2,Bad
302,1,Critical acc/Other cr existing,1,3,4,Male,Own,2,Good
303,0,Critical acc/Other cr existing,3,2,2,Male,For free,1,Bad
304,0,Existing credits paid,4,2,4,Male,Own,1,Good
305,0,Existing credits paid,0,3,2,Female,Rent,1,Good
306,1,Existing credits paid,2,1,4,Male,Own,1,Bad
307,2,Existing credits paid,1,2,3,Female,Own,1,Bad
308,2,Existing credits paid,1,2,4,Male,Rent,1,Good
309,2,Existing credits paid,0,0,3,Male,For free,1,Good
310,0,Existing credits paid,2,2,4,Male,Own,1,Good
311,3,Existing credits paid,1,1,2,Female,Own,1,Good
312,2,Existing credits paid,1,3,2,Male,Own,1,Bad
313,3,Existing credits paid,0,1,1,Male,Own,1,Good
314,1,All cr at this bank paid,1,4,4,Male,Own,1,Bad
315,1,Existing credits paid,1,2,2,Male,Own,1,Good
316,2,Existing credits paid,0,2,1,Female,Own,1,Good
317,0,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
318,1,Delay in paying,1,4,1,Female,Own,2,Good
319,2,Critical acc/Other cr existing,1,0,4,Male,Own,2,Bad
320,1,Existing credits paid,1,1,4,Male,Own,1,Bad
321,1,Existing credits paid,1,3,2,Male,For free,1,Good
322,1,Existing credits paid,4,2,4,Male,Own,1,Good
323,0,Critical acc/Other cr existing,1,2,4,Female,Own,2,Good
324,1,Critical acc/Other cr existing,1,3,1,Male,Own,2,Good
325,0,Critical acc/Other cr existing,0,4,2,Male,Rent,1,Good
326,0,Existing credits paid,4,3,4,Female,Own,1,Good
327,3,Existing credits paid,1,4,4,Male,Own,1,Good
328,2,Existing credits paid,1,4,4,Male,Own,1,Good
329,1,Critical acc/Other cr existing,1,0,2,Male,For free,2,Good
330,0,Critical acc/Other cr existing,2,2,4,Female,Own,2,Bad
331,2,Existing credits paid,2,1,4,Female,Own,1,Bad
332,0,Critical acc/Other cr existing,2,2,2,Female,Rent,2,Bad
333,1,No cr taken/all cr paid,1,4,3,Male,Rent,2,Bad
334,1,Critical acc/Other cr existing,1,2,1,Male,Rent,1,Bad
335,2,Existing credits paid,1,1,2,Female,Own,1,Good
336,1,Existing credits paid,0,2,4,Female,Rent,1,Bad
337,1,Existing credits paid,1,2,4,Male,Own,1,Good
338,2,Existing credits paid,1,2,4,Male,Own,1,Good
339,2,Critical acc/Other cr existing,1,1,2,Female,For free,2,Good
340,1,Existing credits paid,1,3,1,Female,Rent,1,Good
341,2,Existing credits paid,3,1,1,Male,Rent,1,Good
342,2,Existing credits paid,1,4,1,Male,Own,1,Good
343,3,Existing credits paid,1,1,1,Male,Own,1,Good
344,0,Critical acc/Other cr existing,1,2,4,Female,Own,1,Good
345,2,Critical acc/Other cr existing,1,1,4,Male,Own,2,Good
346,2,Existing credits paid,3,0,1,Female,Rent,1,Good
347,0,Delay in paying,2,2,1,Male,Own,2,Good
348,2,Critical acc/Other cr existing,4,4,4,Male,For free,2,Bad
349,0,Existing credits paid,1,1,1,Female,Rent,1,Good
350,2,Existing credits paid,1,2,1,Female,Own,1,Bad
351,0,Critical acc/Other cr existing,0,0,2,Male,Own,1,Good
352,1,No cr taken/all cr paid,1,2,4,Male,Rent,2,Bad
353,0,Existing credits paid,3,4,4,Male,For free,1,Good
354,2,Existing credits paid,1,1,4,Male,Own,1,Bad
355,0,Critical acc/Other cr existing,0,4,1,Male,Own,1,Good
356,0,Delay in paying,1,2,4,Male,Own,2,Bad
357,0,Existing credits paid,1,2,4,Male,Own,1,Good
358,1,Existing credits paid,1,3,4,Female,Rent,1,Bad
359,2,Existing credits paid,0,2,4,Male,For free,1,Good
360,3,Existing credits paid,0,4,2,Male,Own,1,Good
361,3,Delay in paying,1,2,2,Female,Own,2,Good
362,0,Existing credits paid,1,2,1,Male,Rent,1,Good
363,1,Existing credits paid,1,0,4,Male,Own,1,Bad
364,0,Existing credits paid,1,3,2,Male,Own,1,Good
365,0,Critical acc/Other cr existing,1,3,3,Male,Own,2,Good
366,1,Existing credits paid,1,1,1,Female,Rent,1,Good
367,1,Existing credits paid,1,4,4,Male,Own,1,Bad
368,2,Existing credits paid,1,3,2,Female,Rent,1,Good
369,0,Existing credits paid,0,2,4,Male,Own,1,Good
370,0,Critical acc/Other cr existing,1,4,3,Male,Own,2,Good
371,0,Critical acc/Other cr existing,1,1,1,Female,Rent,2,Good
372,0,Critical acc/Other cr existing,0,4,2,Male,For free,1,Good
373,2,All cr at this bank paid,2,4,3,Female,For free,2,Bad
374,1,All cr at this bank paid,1,3,2,Female,Rent,1,Bad
375,0,Delay in paying,1,0,2,Male,Own,2,Good
376,0,Delay in paying,0,4,3,Male,For free,1,Good
377,2,Existing credits paid,1,4,4,Male,For free,1,Bad
378,0,Critical acc/Other cr existing,2,2,4,Female,Own,2,Good
379,1,Existing credits paid,0,3,4,Male,Own,1,Good
380,2,Existing credits paid,1,0,3,Female,For free,1,Bad
381,0,Existing credits paid,0,3,4,Female,Rent,1,Good
382,3,Existing credits paid,1,1,4,Male,Own,1,Good
383,0,Delay in paying,2,2,2,Male,Own,2,Good
384,0,Critical acc/Other cr existing,1,2,2,Female,Own,2,Good
385,0,Existing credits paid,0,1,4,Female,Rent,1,Good
386,2,Critical acc/Other cr existing,1,0,4,Male,Own,2,Good
387,2,Critical acc/Other cr existing,3,2,2,Male,Own,1,Good
388,0,Existing credits paid,1,3,3,Female,Own,2,Good
389,0,Existing credits paid,1,2,2,Male,Own,1,Good
390,2,Existing credits paid,4,1,1,Female,Rent,1,Good
391,1,Existing credits paid,1,3,2,Male,For free,1,Good
392,1,Critical acc/Other cr existing,1,3,1,Female,Own,1,Good
393,0,Critical acc/Other cr existing,1,0,2,Male,Own,1,Good
394,2,Delay in paying,2,3,2,Male,Rent,1,Good
395,1,Existing credits paid,1,0,3,Female,For free,1,Good
396,1,Critical acc/Other cr existing,1,2,3,Male,Own,2,Good
397,2,Existing credits paid,1,4,1,Male,Rent,2,Bad
398,0,Critical acc/Other cr existing,4,2,4,Female,Own,2,Good
399,0,Existing credits paid,1,1,3,Male,Own,1,Good
400,2,Critical acc/Other cr existing,0,2,4,Male,Own,2,Good
401,0,Delay in paying,1,1,2,Male,Own,2,Bad
402,0,Delay in paying,1,2,4,Male,Own,2,Good
403,2,Delay in paying,0,4,4,Male,Own,1,Good
404,2,Existing credits paid,1,1,1,Male,Own,1,Bad
405,0,Critical acc/Other cr existing,0,3,4,Male,Own,2,Good
406,1,Existing credits paid,1,1,4,Male,Own,1,Good
407,0,Existing credits paid,3,4,3,Male,Own,1,Good
408,3,Critical acc/Other cr existing,3,3,4,Male,Own,3,Bad
409,2,Existing credits paid,1,4,4,Female,Own,1,Good
410,0,Critical acc/Other cr existing,1,3,3,Male,Own,2,Good
411,0,Critical acc/Other cr existing,1,0,4,Male,Own,2,Bad
412,0,Existing credits paid,3,2,3,Male,Rent,1,Good
413,1,Existing credits paid,0,2,4,Female,Own,1,Bad
414,0,Critical acc/Other cr existing,1,4,2,Male,Own,2,Good
415,1,Existing credits paid,1,1,4,Male,Own,1,Bad
416,1,Delay in paying,0,2,1,Female,Rent,2,Good
417,0,Existing credits paid,3,3,1,Female,Own,1,Good
418,2,Existing credits paid,0,2,4,Female,Own,1,Bad
419,0,Existing credits paid,4,3,2,Female,Rent,1,Good
420,2,Existing credits paid,0,2,4,Male,Own,1,Good
421,2,Critical acc/Other cr existing,1,3,2,Male,Own,2,Good
422,0,Delay in paying,2,3,4,Male,Own,2,Good
423,2,Existing credits paid,0,4,1,Female,Own,1,Bad
424,2,Existing credits paid,1,2,1,Male,Rent,1,Good
425,0,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
426,0,Critical acc/Other cr existing,4,2,4,Male,Own,2,Good
427,0,Existing credits paid,1,4,1,Male,Own,1,Good
428,1,Critical acc/Other cr existing,1,0,2,Female,For free,3,Bad
429,0,Existing credits paid,1,3,1,Male,Own,1,Good
430,2,Existing credits paid,1,2,2,Male,Own,2,Bad
431,1,Critical acc/Other cr existing,1,0,4,Male,For free,3,Good
432,0,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
433,1,Existing credits paid,1,2,3,Male,Own,1,Good
434,2,Existing credits paid,0,2,2,Male,Own,1,Bad
435,0,Existing credits paid,3,3,2,Male,Rent,1,Good
436,0,Critical acc/Other cr existing,4,4,4,Female,Own,2,Good
437,1,Critical acc/Other cr existing,1,0,4,Male,Own,2,Good
438,3,All cr at this bank paid,1,1,4,Female,Own,1,Bad
439,0,Existing credits paid,1,4,4,Male,Own,1,Good
440,1,Existing credits paid,1,2,2,Female,Own,1,Good
441,2,Delay in paying,1,2,2,Male,Own,2,Good
442,0,Existing credits paid,1,4,4,Male,Own,1,Bad
443,2,Critical acc/Other cr existing,1,2,2,Female,Own,1,Bad
444,0,Critical acc/Other cr existing,0,4,4,Female,Rent,2,Good
445,1,Existing credits paid,1,1,4,Female,Own,1,Bad
